pearson
,beds,baths,sq__ft,price,zip
beds,1.0,0.8396497517464088,0.6840414099881489,0.34202406172294275,0.12531856716579942
baths,0.8396497517464088,1.0,0.6656902540087138,0.41620806665306326,0.06916531753868053
sq__ft,0.6840414099881489,0.6656902540087138,1.0,0.3338969554061771,0.13010846249123226
price,0.34202406172294275,0.41620806665306326,0.3338969554061771,1.0,-0.09335273912071632
zip,0.12531856716579942,0.06916531753868053,0.13010846249123226,-0.09335273912071632,1.0

kendall
,beds,baths,sq__ft,price,zip
beds,1.0,0.7127033442540571,0.5923543638369928,0.32411194433104534,0.05536660978394037
baths,0.7127033442540571,1.0,0.5761792895866548,0.3670210136229834,0.046692190684240756
sq__ft,0.5923543638369928,0.5761792895866548,1.0,0.3441750036586941,0.0902747676381814
price,0.32411194433104534,0.3670210136229834,0.3441750036586941,1.0,-0.0676944322236961
zip,0.05536660978394037,0.046692190684240756,0.0902747676381814,-0.0676944322236961,1.0

spearman
,beds,baths,sq__ft,price,zip
beds,1.0,0.7641063090575771,0.6830473093414476,0.3997441573783112,0.06960999239754373
baths,0.7641063090575771,1.0,0.6610850169512931,0.44235958663498415,0.0554292432470569
sq__ft,0.6830473093414476,0.6610850169512931,1.0,0.41417386142505697,0.12380448303500403
price,0.3997441573783112,0.44235958663498415,0.41417386142505697,1.0,-0.10972209816924078
zip,0.06960999239754373,0.0554292432470569,0.12380448303500403,-0.10972209816924078,1.0

